Id,Review,English Translation (Approximate) ,,,,,,,,,
1,സന്തോഷ് പണ്ഡിറ്റ് ഈ ചിത്രത്തിലെ തന്റെ പ്രവർത്തനത്തെക്കുറിച്ച് ലജ്ജിക്കേണ്ടതുണ്ട്. സംവിധാനം മോശമായി.,Santosh Pandit needs to be shameful on his work in the film.The direction was poorly.,,,,,,,,,
2,"സംവിധാനം ആവറേജ് ആണ് , പക്ഷേ കഥ അപൂർണ്ണമാണെന്ന് തോന്നി.","The direction is Average, but the story seemed imperfect.",,,,,,,,,
3,പാലക്കാട്‌ ഗ്രാമങ്ങളിലെ ഒരു കൺകെട്ട് മോശമായി ചിത്രീകരിച്ചത് മോശമാണ്.,One of the most concentrated concentration in Palakkad villages is bad.,,,,,,,,,
4,"വളരെ മികച്ച  രീതിയിൽ ഉള്ള കഥയും, സംവിധാനവും. അഭിനേതാക്കളുടെ  തിരഞ്ഞെടുപ്പിലും മികവ്  കാണിച്ചിട്ടുണ്ട്. മലയാളത്തിൽ  ഇന്ന് വരെ കണ്ടിട്ടില്ലാത്ത തരത്തിൽ ഉള്ള കഥാ  സന്ദർഭങ്ങൾ.",The story and the mechanism is very good.Excellence is also shown in the election of actors.The stories in Malayalam in Malayalam is not seen.,,,,,,,,,
5,തിരക്കഥ: തിരക്കഥ മോശമായി എഴുതിയതിനാൽ ഒരു സ്വാധീനവും സൃഷ്ടിക്കുന്നതിൽ പരാജയപ്പെടുന്നു.,Screenplay: Failing to create an impact on the script.,,,,,,,,,
6,കാസ്റ്റിംഗ് ഡയറക്ടർ ഒരു മികച്ച ജോലി ചെയ്യണമായിരുന്നു. അഭിനേതാക്കൾ അവരുടെ പ്രകടനത്തിൽ യഥാർത്ഥ വികാരമോ ആഴമോ പ്രകടിപ്പിക്കുന്നതിൽ പരാജയപ്പെട്ടു. ഭയങ്കര മോശം സിനിമാട്ടോഗ്രഫി ആയിരുന്നു ഇതിൽ.  കാണാൻ ഒട്ടും സുഖം തോന്നിയില്ല. ,Casting Director was a great job of doing a great job.Actors failed to express actual sentiment or depth in their performance.It was terrible bad cinematography.It was not feeling at all.,,,,,,,,,
7,താരലേടില്ലാത്ത ഒരു മലയാള സിനിമ. നല്ല പാട്ടുകൾ ഉണ്ട്.... കണ്ട് മറന്ന എല്ലാം ഇതിൽ ഉൾപെടുത്തിട്ടുണ്ട്. ദുരന്ത കാസ്റ്റിംഗ് ആയിരുന്നു ഈ ചിത്രത്തിൽ. ഒട്ടും ചേർച്ചയില്ലായിരുന്നു കഥാപാത്രങ്ങൾക്ക്.,A Malayalam cinema without the star.There are good songs .... I have all included everything.The film was a disaster casting.For characters were not harmful.,,,,,,,,,
8,കഥ ലോജിക് ഒന്നും ഇല്ലെങ്കിലും കാണാന്‍ പറ്റിയ പടം. നല്ല പാട്ട് ഉണ്ടല്ലോ. ദുരന്ത കാസ്റ്റിംഗ് ആയിരുന്നു ഈ ചിത്രത്തിൽ. ഒട്ടും ചേർച്ചയില്ലായിരുന്നു കഥാപാത്രങ്ങൾക്ക്.,The story is not to see if the story is none.There is a good song.The film was a disaster casting.For characters were not harmful.,,,,,,,,,
9,"പ്രഗത്ഭരായ അഭിനേതാക്കൾ ഉണ്ടായിരുന്നിട്ടും, പശ്ചാത്തല സംഗീതത്തിന്റെ മോശം തിരഞ്ഞെടുപ്പും സാധാരണ എഡിറ്റിംഗും സിനിമയെ മന്ദഗതിയിലാക്കി.","Despite the talented actors, poor choice of background music and mediocre editing slows down the film.",,,,,,,,,
10,"കാസ്റ്റിംഗ് തിരഞ്ഞെടുപ്പുകൾ ഏറ്റവും സംശയാസ്പദമാണ് . അഭിനേതാക്കൾ അസ്ഥാനത്താണെന്ന് തോന്നുന്നു, അവരുടെ പ്രകടനങ്ങൾ മോശമായി",The casting choices are questionable at best. The actors seem out of place and their performances are poor,,,,,,,,,
11,"സിനിമ തുടക്കം മുതൽ അവസാനം വരെ ഒരു തീവണ്ടി തകർച്ചയായിരുന്നു. അഭിനേതാക്കൾ മോശമായി, കഥ അസംബന്ധവും താൽപ്പര്യമില്ലാത്തതുമായിരുന്നു. ഭയങ്കര മോശം സിനിമാട്ടോഗ്രഫി ആയിരുന്നു ഇതിൽ.  കാണാൻ ഒട്ടും സുഖം തോന്നിയില്ല. ","From the beginning to the end, a train was down.The actors were poorly, the story was nomantic and interest.It was terrible bad cinematography.It was not feeling at all.",,,,,,,,,
12,മോശം .,Bad.,,,,,,,,,
13,"ഈ ചിത്രത്തിലെ അഭിനേതാക്കൾ മങ്ങിയ പ്രകടനം കാഴ്ചവച്ചു, പ്രേക്ഷകരുമായി ബന്ധപ്പെടുന്നതിൽ പരാജയപ്പെട്ടു",The actors in this film gave a lackluster performance and failed to connect with the audience,,,,,,,,,
